Item No.,Quantity,Part number,Description
1,1,,
2,1,,
3,1,,
4,3,,
5,3,,
6,3,,
7,2,,
8,1,,
9,2,,
10,1,,
11,1,,
12,1,,
13,1,,
14,1,,
15,1,,
16,1,,
17,1,,
18,1,,
19,1,,
20,2,,
21,2,,
22,1,,
23,1,,
24,1,,
25,1,,
26,1,,
27,1,,
28,1,,
29,1,,
30,1,,
31,10,,
32,16,,
33,20,,"Socket button head screw M5x0.8 x 8 Stainless Steel "
34,16,,
35,2,,
36,12,M3x8 screw,
37,2,vis M2 AX,"PH Pan head screw M2x0.40 x 6 Stainless Steel "
38,4,,"Slotted cheese head screw M2x0.40 x 16 Stainless Steel "
39,1,,
40,1,,
41,1,,
42,1,,
43,1,,
44,1,,